X,Y,Cluster,Region,City,Partner,Lon,Lat,Population,Strata,Salary,Ranking,SB Trade Z,Target Pen,Target P_1,Actual Pen,Ttl,IL+FS,DT,FC,St,Op,Lt,SB,Ttl g,St g,Op g,SB g,KFC Av Sal,EBITDA H12,ViT,BK,icon_url
32.352133,59.900534,NW,Ленинградская область,Волхов,AmRest,32.352133000000002,59.900534000000000,44 487,30 - 60,39 056,ok,High Density Residential,100 000,44 487,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
38.971944,46.084805,South,Краснодарский край,Каневская станица,AmRest,38.971944000000001,46.084805000000003,44 386,30 - 60,"0",Нет рейтинга,Low Density Residential,,44 386,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
32.935948,67.938579,NW,Мурманская область,Мончегорск,AmRest,32.935948000000003,67.938579000000004,41 482,30 - 60,59 734,good,High Density Residential,80 000,41 482,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
39.694576,45.216717,South,Краснодарский край,Усть-Лабинск,AmRest,39.694575999999998,45.216717000000003,40 180,30 - 60,29 504,good,Low Density Residential,80 000,40 180,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
39.730078,44.458432,South,Краснодарский край,Апшеронск,AmRest,39.730077999999999,44.458432000000002,39 762,30 - 60,27 223,good,Low Density Residential,80 000,39 762,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
39.223068,45.218577,South,Краснодарский край,Динская станица,AmRest,39.223067999999998,45.218577000000003,38 848,30 - 60,"0",Нет рейтинга,Roadside,,38 848,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
38.161754,44.867924,South,Краснодарский край,Абинск,AmRest,38.161754000000002,44.867924000000002,38 547,30 - 60,30 720,good,Low Density Residential,80 000,38 547,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
40.820749,64.413695,NW,Архангельская область,Новодвинск,AmRest,40.820748999999999,64.413695000000004,38 082,30 - 60,41 477,ok,High Density Residential,100 000,38 082,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
30.877719,59.540664,NW,Ленинградская область,Тосно,AmRest,30.877718999999999,59.540664000000000,36 791,30 - 60,44 436,good,High Density Residential,80 000,36 791,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
40.099977,59.460968,NW,Вологодская область,Сокол,AmRest,40.099977000000003,59.460968000000001,36 668,30 - 60,29 022,ok,Low Density Residential,100 000,36 668,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
